taskname,description,status,category,createdby,assignedTo,dueDate
dhairy,eehiaet,pending,backend,66edc2b682a814776a5c316d,66edc2b682a814776a5c316d,
ghj,eehiaet,pending,backend,66edc2b682a814776a5c316d,66edc2b682a814776a5c316d,
ghj,eehiaet,pending,backend,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,
Task 1,This is the first task,pending,development,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,
Task 2,This is the second task,complete,testing,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,
Task 3,This is the third task,pending,frontend,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,
Task 4,This is the fourth task,complete,backend,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,
Task 5,This is the fifth task,pending,design,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,
Task 1,Description for Task 1,pending,Category A,66edc2b682a814776a5c316d,66edc2b682a814776a5c316d,Sun Dec 01 2024 17:30:00 GMT+0530 (India Standard Time)
Task 2,Description for Task 2,complete,Category B,66edc2b682a814776a5c316d,66edc2b682a814776a5c316d,Fri Nov 15 2024 17:30:00 GMT+0530 (India Standard Time)
Task 3,Description for Task 3,pending,Category C,66edc2b682a814776a5c316d,66edc2b682a814776a5c316d,Wed Oct 30 2024 17:30:00 GMT+0530 (India Standard Time)
Task 4,Description for Task 4,pending,Category D,66edc2b682a814776a5c316d,66edc2b682a814776a5c316d,Mon Nov 25 2024 17:30:00 GMT+0530 (India Standard Time)
Task 5,Description for Task 5,complete,Category E,66edc2b682a814776a5c316d,66edc2b682a814776a5c316d,Sat Oct 05 2024 17:30:00 GMT+0530 (India Standard Time)
Task 1,Description for Task 1,pending,Category A,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,Sun Dec 01 2024 17:30:00 GMT+0530 (India Standard Time)
Task 2,Description for Task 2,complete,Category B,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,Fri Nov 15 2024 17:30:00 GMT+0530 (India Standard Time)
Task 3,Description for Task 3,pending,Category C,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,Wed Oct 30 2024 17:30:00 GMT+0530 (India Standard Time)
Task 4,Description for Task 4,pending,Category D,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,Mon Nov 25 2024 17:30:00 GMT+0530 (India Standard Time)
Task 5,Description for Task 5,complete,Category E,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,Sat Oct 05 2024 17:30:00 GMT+0530 (India Standard Time)
Task 1,Description for Task 2,complete,Category B,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,Fri Nov 15 2024 17:30:00 GMT+0530 (India Standard Time)
Task 1,Description for Task 3,pending,Category C,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,Wed Oct 30 2024 17:30:00 GMT+0530 (India Standard Time)
Task 1,Description for Task 4,pending,Category D,66edce6e2b2631d4999188a7,66edce6e2b2631d4999188a7,Mon Nov 25 2024 17:30:00 GMT+0530 (India Standard Time)
